year,MSW_Q05raw,MSW_Q25raw,MSW_Q50raw,MSW_Q75raw,MSW_Q95raw,1SW_Q05raw,1SW_Q25raw,1SW_Q50raw,1SW_Q75raw,1SW_Q95raw,northern_mnwinlen,northern_mnwinsrt,northern_mnwinend,northern_mnsumlen,northern_mnsumsrt,northern_mnsumend,southern_mnwinlen,southern_mnwinsrt,southern_mnwinend,southern_mnsumlen,southern_mnsumsrt,southern_mnsumend,meanyearflow,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,meanwinterflow,meanspringflow,meansummerflow,meanfallflow,Q05,Q10,Q15,Q20,Q25,Q30,Q35,Q40,Q45,Q50,Q55,Q60,Q65,Q70,Q75,Q80,Q85,Q90,Q95,djf,mam,jja,son,january,february,march,april,may,june,july,august,september,october,november,december,rivsumsrt,rivsumend,rivsumlen,northern_mnsumlen_lag,wscv,sprinfl
1983,167,173,186,241,281,180,204,232,260,282,125,-8.560771165129925,115.69656328583405,78,192.24308466051968,269.8097233864208,71,34.58888888888889,106.02063492063492,63,202.23968253968255,264.64920634920634,16496.761643835616,10879.075268817203,9039.166666666666,18213.225806451617,44134.88888888889,29580,14132.155555555555,7706.623655913979,6600.215053763441,5751.6,6628.795698924731,17671.644444444446,27408.60215053763,12832.866666666669,29285.61904761905,6696.304347826087,17231.615942028984,28,61,81,93,104,110,115,119,125,132,147,162,196,235,285,323,333,343,352,0.24666666666666667,5.778260869565218,20.73555447951608,11.49005566831037,0.0935483870967742,0.10714285714285716,0.6483870967741936,5.21,11.458064516129031,19.058888888888887,21.642045708112832,21.451642854752087,18.636502193874794,11.796774193548387,4.026666666666666,0.5258064516129032,170,247,47,73,108,80
1984,169,175,188,200,270,187,194,205,242,270,142,-10.331098072087174,132.48281642917016,73,196.2338642078793,269.44844928751047,109,6.6158730158730155,116.38888888888889,57,205.16984126984127,261.97460317460315,14618.005464480875,9086.021505376344,11163.448275862069,12522.258064516129,37090,31457.204301075268,31850.88888888889,14205.41935483871,6660.989247311828,5411.644444444444,5056.623655913979,5599.844444444445,5781.763440860215,10918.644688644688,33443.956043956045,8795.739130434782,5478.101449275362,30,56,78,95,103,110,116,122,130,140,150,155,160,167,181,195,223,269,320,0.434400182591256,5.144565217391304,20.912622520889062,11.136942609849871,0.4290322580645161,0.11379310344827588,0.12258064516129032,3.3033333333333332,11.948387096774193,17.643333333333334,22.080645161290324,22.90842812650947,17.81,11.47741935483871,4.112059249877948,0.7396908585743319,190,241,52,78,108,95
1985,154,168,185,208,265,182,197,215,248,273,158,-17.702430846605196,140.32523051131602,57,205.41324392288348,262.48784576697403,120,11.82857142857143,131.8095238095238,31,217.56031746031744,249.09047619047615,7853.004566210046,4703.010752688172,5335.119047619048,11162.58064516129,15903.2,10184.924731182797,6529.711111111111,7852.193548387097,5164.064516129032,5389.622222222222,5540.666666666667,10275.844444444445,6167.139784946236,7124.62962962963,10865.054945054944,6143.398550724638,7295.840579710145,31,58,76,86,95,104,113,123,136,151,174,192,211,237,266,289,313,325,341,0.2248889160156289,6.614342155769035,21.132971014492753,10.539693606310289,0,0.5504315603347132,1.571332443401385,5.2517433837301075,12.975995841077582,17.914444444444445,22.75483870967742,22.625806451612902,18.416666666666668,9.505537017494138,3.731349021063926,0.15573931458176238,189,237,49,73,95,97
1986,162,173,184,198,263,181,194,201,220,268,136,-15.538139145012574,119.98491198658844,65,203.1349538977368,268.2539815590947,117,0.20000000000000004,117.41111111111113,35,210.66507936507935,245.97142857142856,11683.523287671233,9606.021505376344,12008.57142857143,12067.956989247312,28222,15016.129032258064,9299.8,6917.462365591397,11221.462365591398,9274.377777777778,7945.075268817204,7285.777777777778,11606.129032258064,11201.481481481482,17485.20879120879,9136.282608695652,8963.702898550724,28,38,60,84,92,98,106,114,124,141,153,175,207,228,247,271,294,329,344,0.294333433928317,7.589992125138001,19.74400830476181,9.447468376858335,0.5805782359133548,0.01055050804501637,1.784100596110037,7.222405234442831,13.751612903225809,18.05444444444445,21.07192219559864,20.051156214232087,15.953333333333331,9.903225806451612,2.470654076470284,0.2644086940314218,200,213,14,57,95,69
1987,158,174,183,200,267,181,191,202,214,268,152,-24.559932942162614,126.883487007544,70,200.32103939647948,270.2590108968986,121,5.9714285714285715,126.87619047619047,54,203.22698412698412,256.95396825396824,10579.063013698633,7823.139784946236,6289.047619047619,14915.698924731185,37780.22222222222,10407.89247311828,7621.088888888888,4923.354838709677,3680.086021505376,5979.133333333333,8051.741935483871,7777.466666666666,11828,9788.85925925926,18513.01098901099,4848.702898550725,9234.739130434782,25,54,82,88,92,95,98,101,106,114,129,149,173,209,260,282,307,333,344,0.13113913924605894,8.281212510684046,20.295781573498964,10.313448124141486,0,0,1.8189934351111068,9.154577525779263,13.89823963616484,18.567063492063493,21.296774193548387,20.967741935483872,16.966666666666665,10.483870967741936,3.484125976562505,0.3807265332950098,192,234,28,65,95,66
1988,161,179,189,233,248,188,208,234,241,270,139,-11.697401508801342,126.93461860854988,80,195.04945515507129,275.05113160100586,122,-0.3238095238095238,122.4063492063492,42,209.0142857142857,250.84126984126985,9008.513661202183,5831.4838709677415,6223.977011494253,9366.924731182797,22835.11111111111,10156.516129032258,4278.822222222222,4686.688172043011,6200,5996.577777777778,7932.10752688172,16460.88888888889,8390.10752688172,7160.945054945055,12398.57142857143,5623.746376811594,10867.557971014492,29,56,83,92,97,103,111,120,132,152,191,224,248,277,301,311,320,331,343,0.23639654082693504,7.064332466990836,21.667934782608697,9.879630522675573,0.1324057056057878,0.212787365091262,1.5540472625404376,5.7469929497023315,13.849462365591398,19.38722222222222,22.946236559139784,22.596774193548388,16.072222222222223,9.096774193548388,4.495990363227016,0.3624733791556474,171,232,52,70,97,75
1989,167,179,189,199,261,184,195,201,221,261,132,-5.9438390611902765,126.4425817267393,73,197.38222967309304,270.18440905280806,119,2.466666666666667,121.3063492063492,55,204.7952380952381,259.4984126984127,11348.133333333331,5237.419354838709,5080.9047619047615,5924.559139784947,27498.11111111111,34162.98924731183,10288.622222222222,5147.354838709677,9196.623655913978,6958.844444444445,7509.956989247312,12506.044444444444,6442.215053763441,5425.407407407408,24095.106227106226,7102.485507246377,8779.333333333334,40,83,96,102,108,117,125,130,134,139,145,162,183,219,241,271,299,318,334,0.11614809954608252,6.460538289407262,20.95527087646653,11.050005256736677,0.14446238856162236,0.19733619689941811,1.136882880426233,5.003412332212315,13.19431559244792,18.58134920634921,22.154121863799283,22.053763440860216,18.55,10.64516129032258,3.968349278767916,0.0145026258243041,178,236,59,80,115,111
1990,161,170,181,196,278,181,195,214,255,278,151,-13.690695725062866,137,68,209.01005867560772,276.9631181894384,133,-12.453968253968254,120.96666666666668,63,205.868253968254,269.2857142857143,15421.008219178082,6797.139784946236,8985.833333333334,15799.462365591398,29190.222222222223,19011.39784946237,15583.644444444444,8599.569892473119,9024.68817204301,7392.866666666667,22377.505376344085,24220.222222222223,17921.075268817203,10578.866666666669,21237.02564102564,8349.326086956522,21476.768115942028,39,71,86,98,107,115,128,143,159,178,206,236,274,292,301,309,320,334,349,0.5970600749828261,7.181803113316027,22.25418980639914,11.381717891483524,0.28029552992954576,0.2436010269891682,2.036950937906912,6.852680244998675,12.64516129032258,18.9703759680854,23.388400875624793,24.297863096831943,18.223875359429258,11.887096774193548,4.017335578070766,1.2330779537077976,182,249,68,73,100,85
1991,158,170,188,232,280,184,200,223,241,276,153,-10.174350377200335,142.86169321039395,26,221.64291701592623,248.05783738474435,114,8.087301587301587,122.16349206349206,40,208.7079365079365,248.82063492063492,13005.97808219178,10023.118279569891,7043.690476190476,13724.301075268815,41336,18649.440860215054,7913,4088.3655913978496,8078.043010752688,8139.666666666667,16025.655913978497,13222.666666666666,7850.387096774193,10371.037037037036,22589.040293040292,6753.789855072464,12356.927536231884,22,55,78,91,98,104,109,114,120,126,138,163,204,239,270,285,299,317,335,0.2321531592475076,7.670753217359434,22.30797101449275,10.983480714790993,0.04241923670614993,0.16165266491118352,1.5628774581417095,7.142003159822496,14.290322580645162,20.91111111111111,23.548387096774192,22.419354838709676,18.116666666666667,10.580645161290322,4.266558168199344,0.48556494764102903,172,235,64,68,103,79
1992,158,172,183,196,230,180,191,202,224,284,149,-7.77116512992456,140.81810561609387,41,224.50880134115675,266.28248113998325,125,7.707936507936508,133.34920634920636,47,217.6095238095238,264.67619047619047,10161.69034608379,9871.462365591398,6912.16091954023,13508.817204301076,27496,13738.731182795698,6882.444444444444,9747.52688172043,7103.1612903225805,6119.622222222222,6082.731182795699,7961.622222222222,6558.387096774193,10167.48717948718,16013.78021978022,7673.478260869565,6855.688405797101,18,40,67,83,92,98,105,112,119,126,138,161,186,205,225,257,287,315,337,0.2364653982085656,6.52709675604395,20.98768115942029,10.698709492107024,0.1834410800728777,0.05895125290443314,1.2211701752037225,4.6378875374909345,13.661290322580646,20.059444444444445,21.131720430107528,21.741935483870968,18.633333333333333,10.629032258064516,2.8360854593913,0.4555513361448935,176,243,43,26,97,102
